Query, Refcode,LAB1  ,LAB2  ,DIST1 
1,MIPZIX,N5,O1,3.290
1,MIPZOD,N4,O2,3.180
1,MIPZOD,N4,O2,3.569
1,MIPZOD,N4,O3,3.665
1,MIPZOD,N4,O4,3.691
1,MIPZOD,N4,O5,3.766
1,MIPZOD,N5,O2,3.617
1,MIPZOD,N5,O3,3.843
1,MIPZOD,N5,O4,3.796
1,MIPZOD,N5,O4,3.912
1,MIPZOD,N5,O5,3.314
1,MIQHAY,N1,O3,3.113
1,MIQHAY,N1,O5,3.238
1,MIQHAY,N2,O3,3.797
1,MIQHAY,N2,O5,2.854
1,MIQHAY,N2,O5,3.643
1,MIQHAY,N2,O6,3.664
1,MIRMUY,N2,O5,3.963
1,MISWOD,N3,O3,3.360
1,NBZOAC17,N1,O2,3.287
1,NBZOAC18,N1,O3,3.480
1,NBZOAC18,N1,O3,3.969
1,NBZOAC18,N1,O4,2.951
1,NBZOAC18,N1,O4,3.562
1,NBZOAC19,N1,O3,3.289
1,NBZOAC19,N1,O3,3.997
1,NBZOAC19,N1,O4,3.096
1,NBZOAC19,N1,O4,3.634
1,NIKLOL,N1,O5,3.991
1,NIKLOL,N1,O7,3.219
1,NIKLOL,N3,O1,3.503
1,NIKLOL,N3,O2,3.519
1,NIKLOL,N3,O3,3.574
1,NIKLOL,N4,O4,3.558
1,NIKLOL,N2,O8,3.370
1,NIKYEO,N2,O4,3.866
1,NIKYEO01,N2,O4,3.889
1,NILCET,N15,O1,3.550
1,NILCET,N15,O12,3.968
1,NILCET,N15,O4,3.239
1,NILCET,N15,O5,3.745
1,NILCET,N15,O8,3.557
1,NILCET,N15,O9,2.979
1,NILCET,N15,O9,3.758
1,NILCET,N16,O1,3.168
1,NILCET,N16,O11,3.257
1,NILCET,N16,O12,3.380
1,NILCET,N16,O2,3.192
1,NILCET,N16,O6,3.929
1,NILZIU,N1,O3,2.978
1,NIMXUF,N5,O3,3.383
1,NIMXUF,N5,O4,3.065
1,NIMXUF,N5,O5,3.276
1,NIMXUF,N5,O5,3.719
1,NIMXUF,N6,O2,3.380
1,NIMXUF,N6,O1,3.071
1,NIMZIV,N1,O3,3.476
1,NIMZIV,N2,O1,3.412
1,NIMZIV,N1,O4,3.642
1,NIMZIV,N2,O2,3.710
1,NIMZIV,N2,O2,3.997
1,NINBIY,N1,O4,3.842
1,NINBIY,N1,O6,3.388
1,NINJUS,N1,O1,3.670
1,NINJUS,N1,O2,3.843
1,NINVOY,N2,O5,3.154
1,NINYUH,N3,O5,3.152
1,NINYUH,N3,O9,3.658
1,NINYUH,N9,O1,3.167
1,NINYUH,N9,O1,3.571
1,NINYUH,N3,O6,3.661
1,NINYUH,N6,O10,3.009
1,NINYUH,N6,O2,3.330
1,NIPXUI,N3,O2,3.332
1,NIPXUI,N3,O5,3.756
1,NIQTOZ,N3,O4,3.281
1,NIQTOZ,N3,O5,3.803
1,NIQTOZ,N3,O8,3.853
1,NIQTOZ,N4,O2,3.979
1,NIQTOZ,N4,O3,3.317
1,NIQTOZ,N4,O9,3.543
1,NIQTOZ,N8,O4,3.661
1,NTCPOL02,N1,O2,3.278
1,OHUJOQ01,N1,O1,3.578
1,OHUJOQ01,N1,O2,3.730
1,OHUJOQ01,N1,O2,3.817
1,PIJFIA,N2,O5,3.343
1,PIJFIA,N4,O3,3.169
1,PINPEK,N1,O6,3.668
1,PINPEK01,N4,O10,3.328
1,PINSEN,N3,O3,3.328
1,PIPGON,N4,O1,3.143
1,PIPGON,N2,O4,3.494
1,PITFOQ,N3,O1A,3.680
1,PITFUW,N3,O1,3.843
1,PITFUW,N3,O1A,3.044
1,PITFUW,N3,O2A,3.489
1,PITGAD,N5,O3,2.947
1,PITGAD,N5,O4,3.649
1,PITGAD,N5,O5,3.429
1,PITGAD,N6,O1,3.886
1,PITGAD,N6,O1,3.938
1,PITGAD,N6,O2,3.773
1,PITGAD,N6,O3,3.946
1,PITGAD,N6,O6,3.354
1,PITGAD,N7,O4,3.837
1,PITGAD,N7,O5,3.524
1,PITGAD,N7,O6,3.796
1,PITGEH,N5,O1,3.505
1,PITGEH,N5,O6,3.425
1,PITGEH,N5,O7,3.650
1,PITGEH,N6,O4,3.979
1,PITGEH,N6,O5,3.216
1,PITGEH,N6,O7,3.872
1,PITGEH,N7,O3,3.879
1,PITGEH,N7,O7,3.129
1,PITGEH,N7,O8,3.976
1,PITGEH,N8,O2,2.911
1,PITGEH,N8,O3,3.932
1,PITGEH,N8,O5,3.011
1,PITGIL,N5,O3,3.526
1,PITGIL,N5,O8,3.858
1,PITGIL,N5,O8,3.878
1,PITGIL,N6,O1,3.929
1,PITGIL,N6,O5,3.373
1,PITGIL,N6,O6,3.791
1,PITGIL,N7,O2,2.971
1,PITGIL,N7,O4,3.448
1,PITGIL,N7,O6,3.580
1,PITGIL,N8,O3,3.558
1,PITGIL,N8,O4,3.841
1,PITGIL,N8,O5,3.378
1,PITGIL,N8,O6,3.803
1,PITGIL,N8,O7,3.186
1,PITGIL,N8,O8,3.756
1,PITJIO,N3,O2,3.625
1,PITJIO,N3,O3,2.873
1,PIVJUC,N1,O1,3.429
1,PIVJUC,N1,O2,3.903
1,PIZWIH,N1,O3,3.204
1,QAXMEH32,N2,O1,3.848
1,QAXMEH32,N2,O2,3.655
1,QAXMEH33,N3,O1,3.114
1,QAXMEH48,N3,O1,3.184
1,QAXMEH49,N3,O1,3.102
1,QAXMEH50,N3,O1,3.102
1,QAXMEH51,N3,O1,3.103
1,QIJPEH,N6,O4,3.930
1,QIJPEH,N6,O5,3.698
1,QIJPEH,N6,O8,3.216
1,QIJPEH,N6,O9,3.783
1,QIJPEH,N6,O9,3.787
1,QIJPEH,N6,O11,3.076
1,QIJPEH,N6,O12,3.946
1,QIJPEH,N7,O8,3.267
1,QIJPEH,N7,O11,3.771
1,QIJPEH,N7,O13,3.216
1,QIJPEH,N11,O4,3.652
1,QIJPEH,N11,O5,3.786
1,QIJPEH,N12,O6,3.613
1,QIJPIL,N6,O6,3.427
1,QIJPIL,N6,O7,3.077
1,QIJPIL,N6,O8,3.485
1,QIJPIL,N7,O4,3.835
1,QIJPIL,N7,O5,3.438
1,QIJPIL,N7,O7,3.140
1,QIJPIL,N7,O8,3.102
1,QIJPIL,N7,O9,3.166
1,QIJPIL,N11,O1,3.679
1,QIJPIL,N11,O2,3.639
1,QIJPIL,N11,O12,3.980
1,QIJPIL,N11,O13,3.526
1,QIJPIL,N11,O14,3.146
1,QIJPIL,N12,O2,3.030
1,QIJPIL,N12,O11,3.541
1,QIJPIL,N12,O12,3.088
1,QIJPOR,N6,O11,3.584
1,QIJPOR,N6,O12,3.731
1,QIJPOR,N6,O14,3.667
1,QIJPOR,N7,O1,3.286
1,QIJPOR,N7,O13,3.818
1,QIJPOR,N7,O14,3.018
1,QIJPOR,N11,O4,3.370
1,QIJPOR,N11,O5,3.532
1,QIJPOR,N12,O2,3.960
1,QIJPOR,N12,O4,3.871
1,QIJPOR,N12,O6,3.098
1,QIJPOR,N12,O7,3.898
1,QIJPUX,N18,O4,3.139
1,QIJPUX,N6,O18,3.286
1,QIJPUX,N18,O5,3.490
1,QIJPUX,N6,O19,3.891
1,QIJPUX,N7,O1,2.980
1,QIJPUX,N19,O4,3.825
1,QIJPUX,N19,O6,3.745
1,QIJPUX,N7,O20,3.896
1,QIJPUX,N19,O7,3.913
1,QIJPUX,N7,O21,3.596
1,QIJPUX,N11,O25,3.267
1,QIJPUX,N23,O11,3.713
1,QIJPUX,N11,O26,3.919
1,QIJPUX,N23,O13,3.208
1,QIJPUX,N24,O22,3.117
1,QIJPUX,N12,O25,3.348
1,QIJPUX,N12,O13,3.328
1,QIJPUX,N12,O27,3.627
1,QIJPUX,N24,O13,3.762
1,QIJPUX,N24,O14,3.999
1,QINPAH,N2,O3,3.190
1,QIPMAG,N4,O12,3.662
1,QIPMAG,N4,O6,3.338
1,QIPMAG,N2,O5,3.686
1,QIPMAG,N2,O14,3.696
1,QIPMAG,N6,O3,3.683
1,QIPMAG,N3,O4,3.769
1,QIPMAG,N6,O11,3.640
1,QIPMEK,N2,O2,3.601
1,QIPMEK,N3,O3,3.824
1,QIPMEK,N3,O6,3.838
1,QIPMEK,N1,O5,3.868
1,QIPMIO,N2,O3,4.000
1,QIPMIO,N2,O4,3.233
1,QIPMIO,N3,O2,3.474
1,QIPMOU,N1,O5,3.691
1,QIPMOU,N2,O6,3.875
1,QIPMOU,N2,O1,3.573
1,QIPRAL,N5,O2,3.885
1,QIPRAL,N2,O12,3.999
1,QIPRAL,N5,O4,3.958
1,QIPRAL,N2,O13,3.103
1,QIPRAL,N5,O5,3.079
1,QIPRAL,N6,O3,3.985
1,QIPRAL,N3,O14,3.930
1,QIPRAL,N3,O15,3.588
1,QIPRAL,N6,O7,3.897
1,QIPRAL,N1,O10,3.897
1,QIPRAL,N1,O11,3.186
1,QIPRAL,N4,O3,3.611
1,QIPRAL,N1,O14,3.579
1,QIPRAL,N4,O6,3.279
1,QIQHOQ,N3,O2,3.158
1,QIQHOQ,N4,O5,3.680
1,QIRNUD,N5,O2,3.159
1,QIRNUD,N5,O5,3.816
1,QIRNUD,N3,O2,3.803
1,QIRNUD,N3,O3,3.096
1,QIRNUD,N3,O6,3.615
1,QIRNUD,N3,O7,3.800
1,QIRNUD,N4,O5,3.360
1,QIRNUD,N4,O7,3.100
1,QIRNUD,N4,O7,3.924
1,QIRPAL,N1,O1,3.788
1,QIRPAL,N1,O2,3.108
1,QIRPAL,N1,O5,3.914
1,QIRPAL,N2,O1,3.831
1,QIRPAL,N2,O4,3.420
1,QIRPEP,N1,O1,3.367
1,QIRPEP,N1,O2,3.538
1,QIRPEP,N1,O4,3.917
1,QIRPEP,N2,O3,3.145
1,QIRPEP,N2,O4,3.550
1,QIRPEP,N2,O4,3.587
1,QIRXEX,N6,O15,3.401
1,QIRXEX,N8,O11,3.636
1,QIRXEX,N6,O16,3.749
1,QISZEA,N3,O2,3.102
1,QISZIE,N3,O1,3.167
1,QISZIE,N3,O2,3.777
1,QISZOK,N3,O3,3.659
1,QISZOK,N3,O3,3.905
1,QISZOK,N3,O4,3.036
1,QISZOK,N3,O4,3.763
1,QITDAB,N3,O2,3.086
1,QITDIJ,N3,O2,3.891
1,QITDIJ,N3,O3,3.459
1,QITDOP,N3,O3,3.873
1,RINSAL,N4,O1,3.030
1,RINSAL,N4,O5,3.654
1,RIPYOH,N1,O7,3.889
1,RIPYOH,N2,O4,3.486
1,RIPYOH,N3,O3,3.725
1,RIQGAC,N2,O1,3.119
1,RIQGAC,N2,O2,2.941
1,RIQGEG,N2,O2,2.968
1,RIQGEG,N2,O5,3.646
1,RIQGEG,N2,O3,3.320
1,RIQGIK,N3,O1,3.908
1,RIQGIK,N2,O2,3.659
1,RIRFAC,N1,O5,3.301
1,RIRFAC,N2,O2,3.831
1,RIRFAC,N1,O6,3.286
1,RIRFAC,N2,O3,3.862
1,RISDAB,N2,O4,3.685
1,RISDAB,N2,O6,3.692
1,RISDAB,N3,O4,3.961
1,RISDAB,N4,O3,3.970
1,RISDOP,N2,O7,3.776
1,RISDOP,N2,O8,3.632
1,RISDOP,N4,O4,3.365
1,RISDOP,N4,O5,3.885
1,RISFEH,N2,O4,3.492
1,RISFEH,N2,O5,3.685
1,RISFEH,N2,O6,3.929
1,RISFEH,N3,O3,3.277
1,RISFEH,N4,O2,3.226
1,RISFEH,N4,O3,3.906
1,RITYIF,N3,O2,3.800
1,RITYOL,N4,O5,3.648
1,RITYOL,N7,O10,3.960
1,RIVLUG,N3,O4,3.906
1,RIVLUG,N3,O1,3.503
1,RIVMAN,N4,O5,3.473
1,RIVMER,N6,O6,3.192
1,RIVMER,N6,O11,3.125
1,RIWSEY,N2,O2,2.907
1,RIWSEY,N3,O5,3.322
1,RIWSEY,N3,O6,2.929
1,RIWYEE,N2,O4,3.990
1,RIWYEE,N2,O5,3.292
1,RIWYEE,N2,O5,3.848
1,RIWYEE,N3,O1,3.389
1,RIWYEE,N3,O2,3.310
1,RIWYEE,N3,O3,3.467
1,SASKOO01,N1,O4,3.934
1,SASKOO01,N1,O9,3.789
1,SASKOO01,N1,O11,3.412
1,SASKOO01,N5,O11,3.566
1,SASKOO01,N6,O2,3.208
1,SASKOO01,N3,O3,3.631
1,SASKOO01,N6,O3,3.703
1,SASKOO01,N3,O5,3.919
1,SASKOO01,N6,O10,3.976
1,SASKOO01,N6,O12,3.591
1,SASKOO01,N2,O13,3.616
1,SASKOO01,N2,O2,3.240
1,SASKOO01,N4,O2,3.754
1,SASKOO01,N4,O5,3.173
1,SASKOO01,N2,O7,3.644
1,SASKOO01,N4,O12,3.195
1,SIWPUM,N6,O3,3.503
1,SIWPUM,N6,O4,3.593
1,SIWPUM,N6,O4,3.630
1,SIWPUM,N7,O1,3.392
1,SIWPUM,N7,O2,3.317
1,SIWPUM,N7,O2,3.884
1,SIZLUL,N1,O5,3.759
1,SIZLUL,N3,O2,3.806
1,SOBVAJ,N3,O2,3.618
1,SOBVAJ,N3,O3,3.367
1,SOBZAN,N3,O1,3.790
1,SOBZAN,N3,O2,3.979
1,TIMFAZ,N1,O2,3.174
1,TIQLUD,N8,O2,3.726
1,UFOVET,N6,O2,2.943
1,UGAVUW01,N2,O5,3.581
1,UGAVUW01,N2,O6,2.850
1,UGAVUW01,N2,O2,3.970
1,UGAVUW01,N2,O3,3.630
1,UGAVUW01,N2,O4,3.204
1,UGAVUW01,N5,O1,3.332
1,UGAVUW01,N5,O6,3.673
1,UGAVUW01,N5,O2,2.990
1,UGAVUW01,N5,O4,3.969
1,UPETIU02,N1,O1A,3.128
1,VELNUY,N2,O4,3.821
1,VELNUY,N2,O5,3.016
1,VELPAG,N2,O2,3.133
1,VIKBOJ,N2,O4,3.929
1,VILQEP,N3,O4,3.157
1,VILQEP,N3,O5,3.911
1,VILROA,N2,O2,3.987
1,VILRUG,N2,O2,3.563
1,VILRUG,N2,O3,3.874
1,VIMFAB,N2,O5,2.913
1,VIMFEF,N2,O3,3.690
1,VIMFEF,N2,O4,3.800
1,VIMFOP,N2,O1,3.699
1,VIMLUB,N1,O2,3.414
1,VINZAW,N1,O1,3.006
1,VINZAW,N1,O2,3.815
1,VIPMOZ,N2,O2,3.667
1,VIPMOZ,N2,O3,3.399
1,VIPXIE,N2,O4,3.944
1,VIPXOK,N2,O4,3.846
1,VIPXOK,N2,O1,3.413
1,VIPXUQ,N2,O4,3.715
1,VIQDAD,N1,O1,3.514
1,VIQKUE,N1,O2,3.271
1,VIQYUS,N1,O3,3.501
1,VIQYUS,N1,O4,3.434
1,VIQYUS,N1,O4,3.945
1,VIQYUS,N2,O1,3.315
1,VIQYUS,N2,O2,3.606
1,VIQZED,N1,O2,3.868
1,VIQZED,N1,O3,3.033
1,VIQZED,N1,O4,3.787
1,VIQZED,N1,O9,2.808
1,VIQZED,N2,O1,3.901
1,VIQZED,N2,O2,2.922
1,VIQZED,N2,O3,3.918
1,VIQZED,N2,O9,3.808
1,VIRZAA,N1,O15,3.085
1,VIRZAA,N2,O8,3.104
1,VITHIS,N4,O3,3.284
1,WAHZEM01,N1,O3,3.153
1,WAHZEM01,N1,O4,3.983
1,WIJPUD,N2,O12,3.767
1,WIJPUD,N2,O13,3.853
1,WIJPUD,N5,O4,3.317
1,WIJPUD,N5,O4,3.595
1,WIJPUD,N1,O14,3.523
1,WIJPUD,N1,O6,3.388
1,WIJPUD,N4,O14,3.802
1,WIJPUD,N4,O6,3.405
1,WIJPUD,N3,O13,3.485
1,WIJPUD,N3,O3,3.684
1,WIJQOY,N6,O7,3.110
1,WIJQOY,N6,O2,3.265
1,WIJQOY,N6,O3,3.900
1,WIJQOY,N7,O7,3.393
1,WIJQOY,N8,O3,3.885
1,WIJQOY,N8,O6,2.905
1,WIMCIH,N1,O3,3.126
1,WIMCIH,N1,O3,3.746
1,WIMCIH,N1,O3,3.950
1,WIMCIH,N1,O4,3.718
1,WIMCIH,N1,O1,2.941
1,WIMCIH,N1,O1,3.757
1,WIMCIH,N2,O4,3.295
1,WIMCIH,N2,O2,3.135
1,WIMCIH,N2,O2,3.172
1,WINKAI,N2,O1,3.599
1,WINKAI,N4,O3,3.728
1,WINKAI,N2,O2,3.319
1,WINKAI,N4,O4,3.712
1,WINKEM,N2,O1,3.133
1,WINKEM,N2,O1,3.690
1,WIPFAF,N2,O5,3.747
1,WIQYUT,N6,O9,3.947
1,WIQYUT,N5,O10,3.870
1,WIQYUT,N5,O9,3.849
1,WISFAI,N1,O2,2.897
1,WOVXOU02,N1,O1,3.362
1,XIRVIG,N1,O5,3.151
1,XIRVIG,N3,O1,3.968
1,XIRVIG,N5,O9,3.731
1,XIRVIG,N7,O1,3.612
1,XIRVIG,N7,O13,2.936
1,XIRVIG,N3,O2,3.019
1,XIRVIG,N5,O10,3.050
1,XIRVIG,N7,O14,3.674
1,XIRVIG,N1,O11,3.432
1,XIRVIG,N1,O15,3.259
1,XIRVIG,N1,O3,3.500
1,XIRVIG,N3,O3,3.672
1,XIRVIG,N7,O15,3.106
1,XIRVIG,N3,O4,3.535
1,XIRVIG,N5,O12,3.628
1,XIRVIG,N2,O5,3.186
1,XIRVIG,N6,O1,3.135
1,XIRVIG,N6,O9,3.103
1,XIRVIG,N8,O13,3.374
1,XIRVIG,N2,O2,3.369
1,XIRVIG,N4,O14,3.652
1,XIRVIG,N4,O6,3.090
1,XIRVIG,N8,O2,3.926
1,XIRVIG,N2,O15,3.851
1,XIRVIG,N8,O3,3.066
1,XIRVIG,N2,O16,3.884
1,XIRWED,N1,O2F,3.293
1,XIRWED,N1,O3F,3.363
1,XIRWED,N1,O3F,3.757
1,XIRWED,N1,O1,3.859
1,XISJIV,N2,O2,3.876
1,XISZAD,N1,O1,3.040
1,XITGOZ,N3,O3,3.392
1,XITGOZ,N3,O3,3.831
1,XITGOZ,N3,O4,3.736
1,XITGOZ,N3,O5,3.338
1,XITGOZ,N3,O6,3.974
1,XITGOZ,N4,O3,3.117
1,XITGOZ,N4,O4,3.988
1,XITPOI,N2,O3,3.041
1,XITTAY,N1,O4,3.852
1,XITTEC,N3,O7,3.759
1,XIWSII,N2,O4,3.048
1,XIWSUU,N1,O3,2.870
1,XIXWEJ,N1,O5,3.084
1,XIYFUJ,N1,O5,3.768
1,XIYFUJ,N1,O2,3.565
1,XIYGIY,N1,O6,3.175
1,XIYGIY,N2,O2,3.521
1,XIYGUK,N1,O5,3.972
1,XIYGUK,N1,O2,3.668
1,XIYHIZ,N1,O3,3.252
1,XIYHOF,N1,O5,3.796
1,XIYJEX,N1,O2,3.142
1,XIYJIB,N1,O2,3.024
1,XIYJOH,N1,O4,3.143
1,XIYJUN,N1,O7,3.125
1,XIYJUN,N1,O7,3.871
1,XIYJUN,N1,O8,3.354
1,XIYJUN,N1,O8,3.866
1,XIYJUN,N2,O2,3.366
1,XIYJUN,N2,O4,3.088
1,XIYJUN,N2,O4,3.829
1,XIYKAU,N1,O3,3.269
1,XIYKAU,N1,O4,3.593
1,XIYKUO,N1,O1,3.686
1,XIYKUO,N1,O3,3.122
1,XIYKUO,N1,O4,3.877
1,XIZCER,N11,O3,3.701
1,XIZCER,N5,O9,3.531
1,XIZCER,N11,O11,3.621
1,XIZCER,N11,O7,3.929
1,XIZCER,N5,O8,3.888
1,XIZCER,N6,O4,3.757
1,XIZCER,N12,O2B,3.365
1,XIZCER,N6,O8,3.533
1,XIZCER,N10,O9,3.320
1,XIZCER,N4,O5,3.350
1,XIZCER,N10,O6,3.591
1,XIZSAD,N5,O1,3.217
1,YILLAJ,N1,O6,2.862
1,ZEPTAS01,N3,O2,3.790
1,ZEPTAS01,N3,O3,3.574
1,ZILNAM,N4,O3,3.854
1,ZIRQOJ,N2,O2,3.099
1,ZISQUQ,N1,O6,3.609
1,ZISYIM,N2,O2,3.133
1,ZIXTOS,N3,O1,3.363
1,ZIYFAR,N3,O4,3.784
1,ZIYFAR,N3,O5,3.068
1,ZIZNOO,N1,O6,3.637
1,ZIZNOO,N1,O4,3.232
1,ZIZNOO,N2,O3,3.248
1,ZIZRAE,N1,O2,2.900
1,ZIZRAE,N1,O6,3.785
1,ZIZRAE,N2,O5,2.965
1,ZIZRAE,N2,O5,3.653
1,ZIZRAE,N2,O6,3.432
1,ZOBGEF,N2,O4,3.521
1,ZOBGEF,N2,O5,3.559
1,ZZZMBE03,N1,O2,2.864
1,ZZZMBE03,N1,O4,3.823
1,ZZZMBE03,N1,O4,3.842
